Data Set 1:Time(s),NWAWB5,NWAWB4,NWAWB3,NSASB4,NWASB3,NWASB2,ASAWB1,NSASB3,NWAWB2,NWAWB1,AhSAWB1,NSASB1,NSASB2,AWASB1
53,4.084896088,4.267635345,4.431494713,5.87925148,5.91161871,5.275064468,1.894392,1.635055065,8.310707092,4.184365273,1.34,,2.570581436,4.559278965
53.5,4.095010757,4.277075768,4.434191704,5.918362141,5.936568737,5.305408478,1.912417,1.638396263,8.348128319,4.186369896,1.35,,2.634064198,4.56662178
54,4.105125427,4.287190914,4.438238144,5.937917233,5.981747627,5.333055496,1.933778,1.638396263,8.392899513,4.188374996,1.35,,2.726948261,4.578638077
54.5,4.113217354,4.301351547,4.441609383,5.972981453,6.058619976,5.361376762,1.955808,1.64040041,8.448363304,4.191047668,1.36,,2.778402328,4.584645748
55,4.120635033,4.312140465,4.443632126,5.983096123,6.194831848,5.393743992,1.983178,1.639064789,8.51518631,4.193052292,1.37,,2.81448698,4.611348152
55.5,4.12130928,4.316860676,4.444306374,5.989839554,6.404543877,5.424088001,2.007877,1.638396263,8.587355614,4.203743935,1.38,,2.850571632,4.660747528
56,4.125354767,4.324952602,4.447678089,6.001302719,6.561659813,5.444992065,2.035914,1.635055065,8.659524918,4.211763382,1.38,,2.887992382,4.693457603
56.5,4.138841629,4.328998566,4.455770016,6.024903774,6.865101814,5.478033543,2.052604,1.633718491,8.737708092,4.217108727,1.38,,2.926081896,4.70213604
57,4.144235611,4.336416245,4.459815979,6.117285252,7.219792366,5.513097763,2.073966,1.634386539,8.793840408,4.218445301,1.39,,2.963502884,4.698130608
57.5,4.155699253,4.341135979,4.463187218,6.376896858,7.622359276,5.531304359,2.087317,1.635055065,8.851307869,4.225795746,1.39,,3.002260447,4.718824863
58,4.165139675,4.345182419,4.469256401,6.942648411,8.07684803,5.560974121,2.10267,1.637727737,8.909444809,4.231142044,1.40,,3.041686058,4.736848831
58.5,4.177277565,4.34787941,4.474650383,7.527280807,8.501667976,5.608850956,2.114019,1.638396263,8.958893776,4.233815193,1.41,,3.08311677,4.754873276
59,4.181323051,4.354622841,4.475325108,8.099101067,9.002684593,5.643240929,2.126035,1.639064789,9.000324249,4.235151291,1.42,,3.127888203,4.748197556
59.5,4.185369015,4.360016823,4.475325108,8.674966812,9.538765907,5.672236443,2.140053,1.641068935,9.035739899,4.239160538,1.43,,3.163304806,4.740186691
60,4.195484161,4.370131493,4.477348328,9.256901741,10.14565086,5.70527792,2.15741,1.639064789,9.075834274,4.24383831,1.43,,3.197384834,4.738851547
60.5,4.210992813,4.380246639,4.481393814,9.749827385,10.78220558,5.732924938,2.169425,1.647082806,9.105905533,4.245174408,1.46,,3.222777605,4.742856979
61,4.217736244,4.387663841,4.47667408,10.132164,11.23062515,5.760571957,2.188118,1.661115646,9.130629539,4.248516083,1.45,,3.244829178,4.742856979
61.5,4.222456932,4.399127483,4.484091282,10.39851952,11.52665043,5.788893223,2.212149,1.670471668,9.151345253,4.255866528,1.47,,3.270890236,4.756875515
62,4.217736244,4.411939621,4.496903419,10.63183212,11.7552433,5.822608948,2.238853,1.679826736,9.170055389,4.261880398,1.47,,3.289600849,4.747529984
62.5,4.214365005,4.426774025,4.510389328,10.8260355,11.91977692,5.85632515,2.266221,1.691854477,9.180747032,4.267226219,1.49,,3.313657284,4.763551235
63,4.225153923,4.440260887,4.518481255,10.99731255,12.04789734,5.896783829,2.297597,1.707892418,9.194111824,4.269230843,1.49,,3.340386391,4.774231911
63.5,4.224479675,4.450375557,4.529944897,11.15105629,12.13016319,5.947357655,2.329639,1.724597931,9.205471992,4.272572517,1.51,,3.365111351,4.766221046
64,4.228525162,4.459815979,4.548825264,11.29805756,12.17938805,6.012092113,2.379039,1.74798584,9.211485863,4.276581764,1.51,,3.398523092,4.791588783
64.5,4.234594345,4.471279144,4.560289383,11.43224621,12.22659111,6.072106361,2.439786,1.762019157,9.21549511,4.282595634,1.52,,3.443294525,4.798931599
65,4.235942841,4.482068062,4.568380833,11.53271961,12.26502705,6.12267971,2.50988,1.767365456,9.222177505,4.28927803,1.55,,3.487398148,4.802269459
65.5,4.237965584,4.492182732,4.576472282,11.58194447,12.27109528,6.175951004,2.589319,1.776051998,9.235542297,4.295960426,1.55,,3.534842491,4.80827713
66,4.238639832,4.508366585,4.585912704,11.61633492,12.28727913,6.231919289,2.669426,1.78540802,9.244229317,4.298633575,1.56,,3.58295536,4.81161499
66.5,4.245383263,4.520504475,4.597376347,11.64600468,12.28593063,6.297327995,2.756876,1.799439907,9.254920959,4.299969673,1.58,,3.630399942,4.830307007
67,4.249429226,4.528595924,4.607491016,11.67095375,12.28930283,6.397126675,2.845661,1.811468601,9.257594109,4.301974297,1.62,,3.681185722,4.84365797
67.5,4.255497932,4.536013603,4.616931915,11.68781185,12.28997612,6.502994061,2.935113,1.829510689,9.271627426,4.303979397,1.61,,3.731303215,4.860346794
68,4.258869171,4.542757034,4.624349117,11.7053442,12.28997612,6.6250453,3.023898,1.840871334,9.30036068,4.307988644,1.61,,3.791444063,4.869692802
68.5,4.266961575,4.548825264,4.631766319,11.71748161,12.29469681,6.75383997,3.125367,1.848889351,9.343795776,4.309325218,1.61,,3.842229843,4.889719486
69,4.271007538,4.549499512,4.641206741,11.72489929,12.31088066,6.892748833,3.232844,1.852898598,9.367184639,4.311998367,1.61,,3.898361683,4.895059586
69.5,4.281122208,4.556917191,4.645927429,11.73501396,12.33515549,7.051213264,3.350333,1.858912468,9.382553101,4.316007614,1.66,,3.962512016,4.901067734
70,4.287190914,4.563660622,4.651321411,11.74984932,12.35268784,7.22855854,3.473831,1.867599964,9.387899399,4.318680286,1.66,,4.011960983,4.932443142
70.5,4.291236877,4.5710783,4.655367851,11.75996399,12.36819649,7.428155899,3.59466,1.872945309,9.401932716,4.321353436,1.70,,4.070097923,4.951802254
71,4.300003052,4.575798035,4.662785053,11.76670742,12.38438034,7.657423496,3.720828,1.874950886,9.416633606,4.324694633,1.68,,4.134916306,4.971161366
71.5,4.308094978,4.58119297,4.665482521,11.77614784,12.3978672,7.896131516,3.838318,1.875619411,9.427325249,4.330040455,1.68,,4.207085609,4.978504181
72,4.319558144,4.587936401,4.672225475,11.78693581,12.41674805,8.10112381,3.961148,1.876955032,9.434007645,4.340732098,1.69,,4.285937309,4.989185333
72.5,4.331021309,4.598725319,4.675597191,11.79300499,12.42888546,8.306116104,4.085981,1.881633282,9.440021515,4.348751068,1.77,,4.36812973,5.005874157
73,4.341135979,4.602096558,4.684363365,11.79570198,12.43832588,8.507061958,4.210147,1.884974003,9.452049255,4.354764938,1.73,,4.455668449,5.016555309
73.5,4.347205162,4.610862732,4.687734604,11.79570198,12.44169807,8.724865913,4.325634,1.885642529,9.458064079,4.357438087,1.72,,4.559244156,5.019225121
74,4.355296612,4.622325897,4.694478035,11.81323433,12.44911575,8.959527969,4.447797,1.885642529,9.46407795,4.36011076,1.79,,4.672843933,5.048597813
74.5,4.364062786,4.635138035,4.700546741,11.83481216,12.45585823,9.19688797,4.559946,1.884974003,9.465414047,4.361447334,1.78,,4.808495522,5.043924809
